ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0042254	ribosome biogenesis	26/168	222/12678	0.117117117117117	8.83815958815959	13.6532335818088	1.29144334751326e-17	1.51655379789618e-14	1.44671250457201e-14	Ns1/CG4553/RpL34a/CG11563/Rheb/CG32344/CG7728/Noc1/CG5645/CG12301/NHP2/Fib/Gar1/RpS19a/Rbm13/bys/CG11417/RpS28b/CG3071/CG2260/RpL7-like/dbe/CG6686/Noc2/pths/mbm	26
GO:0022613	ribonucleoprotein complex biogenesis	30/168	324/12678	0.0925925925925926	6.98743386243386	12.6515479837614	2.56174628023003e-17	1.51655379789618e-14	1.44671250457201e-14	Ns1/CG4553/RpL34a/CG11563/Rheb/CG32344/CG7728/Noc1/CG5645/SmD1/CG12301/NHP2/Fib/Gar1/SmD3/RpS19a/Rbm13/eIF5/bys/CG11417/RpS28b/DENR/CG3071/CG2260/RpL7-like/dbe/CG6686/Noc2/pths/mbm	30
GO:0002181	cytoplasmic translation	17/168	134/12678	0.126865671641791	9.57382729211087	11.5622761758056	1.95955583718457e-12	7.73371370408842e-10	7.37755583613698e-10	RpL34a/RpS30/RpS4/RpL10Ab/RpL11/RpS15/RpL17/RpS19a/RpL37-1/eIF5/RpS28b/DENR/RpL9/RpL21/RpL7-like/RpL40/pths	17
GO:0006364	rRNA processing	18/168	158/12678	0.113924050632911	8.59719710669078	11.1356097964061	2.75442361869412e-12	8.15309391133458e-10	7.77762248120733e-10	CG32344/CG7728/Noc1/CG5645/CG12301/NHP2/Fib/Gar1/Rbm13/bys/CG11417/RpS28b/CG3071/CG2260/RpL7-like/dbe/CG6686/pths	18
GO:0016072	rRNA metabolic process	18/168	181/12678	0.0994475138121547	7.50473559589582	10.214104147126	2.79522453048925e-11	6.61909168819855e-09	6.31426509729467e-09	CG32344/CG7728/Noc1/CG5645/CG12301/NHP2/Fib/Gar1/Rbm13/bys/CG11417/RpS28b/CG3071/CG2260/RpL7-like/dbe/CG6686/pths	18
GO:0008380	RNA splicing	15/168	315/12678	0.0476190476190476	3.59353741496599	5.40157102596718	1.90466462115089e-05	0.00375853818573776	0.00358544761139458	Rm62/CG1965/glo/SF2/CG5986/lost/SmD1/ubl/HnRNP-K/SmD3/caz/cactin/ncm/CG10333/CG6686	15
GO:0000375	RNA splicing, via transesterification reactions	14/168	295/12678	0.0474576271186441	3.58135593220339	5.19852568877552	3.78529080694344e-05	0.00497976035046781	0.00475042928169627	Rm62/CG1965/SF2/CG5986/lost/SmD1/ubl/HnRNP-K/SmD3/caz/cactin/ncm/CG10333/CG6686	14
GO:0000377	RNA splicing, via transesterification reactions with bu	14/168	295/12678	0.0474576271186441	3.58135593220339	5.19852568877552	3.78529080694344e-05	0.00497976035046781	0.00475042928169627	Rm62/CG1965/SF2/CG5986/lost/SmD1/ubl/HnRNP-K/SmD3/caz/cactin/ncm/CG10333/CG6686	14
GO:0000398	mRNA splicing, via spliceosome	14/168	295/12678	0.0474576271186441	3.58135593220339	5.19852568877552	3.78529080694344e-05	0.00497976035046781	0.00475042928169627	Rm62/CG1965/SF2/CG5986/lost/SmD1/ubl/HnRNP-K/SmD3/caz/cactin/ncm/CG10333/CG6686	14
GO:0042274	ribosomal small subunit biogenesis	7/168	75/12678	0.0933333333333333	7.04333333333333	6.08281270153475	5.89368083169764e-05	0.00697811810473	0.00665675740253849	CG7728/CG5645/RpS19a/RpS28b/CG3071/CG2260/mbm	7
GO:0006397	mRNA processing	14/168	342/12678	0.0409356725146199	3.08918128654971	4.53874967607473	0.000182941907397413	0.0196912016689579	0.0187843700131506	Rm62/CG1965/SF2/CG5986/lost/SmD1/ubl/HnRNP-K/SmD3/caz/cactin/ncm/CG10333/CG6686	14
GO:0030490	maturation of SSU-rRNA	5/168	49/12678	0.102040816326531	7.70043731778426	5.44566521198991	0.000458225959808337	0.0419429259738822	0.040011343856664	CG7728/CG5645/RpS28b/CG3071/CG2260	5
GO:1903715	regulation of aerobic respiration	3/168	12/12678	0.25	18.8660714285714	7.17520276434183	0.000460521991267288	0.0419429259738822	0.040011343856664	MAPk-Ak2/osi/pths	3
GO:0016071	mRNA metabolic process	16/168	474/12678	0.0337552742616034	2.54731766124171	3.9787970308389	0.000559321618400438	0.0467968196753723	0.044641702979796	Rm62/CG1965/SF2/CG3909/CG5986/lost/SmD1/ubl/HnRNP-K/SmD3/DCP1/caz/cactin/ncm/CG10333/CG6686	16
GO:0043457	regulation of cellular respiration	3/168	13/12678	0.230769230769231	17.4148351648352	6.86182813430521	0.000592865114130561	0.0467968196753723	0.044641702979796	MAPk-Ak2/osi/pths	3
GO:0000462	maturation of SSU-rRNA from tricistronic rRNA transcrip	4/168	31/12678	0.129032258064516	9.73732718894009	5.64416781569943	0.000708002564163285	0.0523921897480831	0.0499793915360003	CG7728/CG5645/CG3071/CG2260	4
