ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0008592	regulation of Toll signaling pathway	5/103	41/12678	0.121951219512195	15.010655931802	8.13207291907174	1.9069208957151e-05	0.0166021378335882	0.0131496445724631	Drice/Diap1/Pp2A-29B/mts/Sumo	5
GO:0045752	positive regulation of Toll signaling pathway	4/103	23/12678	0.173913043478261	21.4065006331786	8.86490816463833	3.23084876028843e-05	0.0166021378335882	0.0131496445724631	Diap1/Pp2A-29B/mts/Sumo	4
GO:0007460	R8 cell fate commitment	4/103	27/12678	0.148148148148148	18.235167206041	8.11349206791608	6.24540203929132e-05	0.0166021378335882	0.0131496445724631	14-3-3epsilon/gbb/mts/Mad	4
GO:0007424	open tracheal system development	10/103	270/12678	0.037037037037037	4.55879180151025	5.34941673160111	6.71506990400296e-05	0.0166021378335882	0.0131496445724631	Sec23/gammaCOP/TSG101/wun/pio/aft/Cdk4/pck/Stam/colt	10
GO:0008063	Toll signaling pathway	5/103	53/12678	0.0943396226415094	11.6120168529035	7.00636943193123	6.75982810813852e-05	0.0166021378335882	0.0131496445724631	Drice/Diap1/Pp2A-29B/mts/Sumo	5
GO:0060541	respiratory system development	10/103	279/12678	0.03584229390681	4.41173400146153	5.21502981865383	8.82319636919178e-05	0.0180581419022792	0.0143028656932162	Sec23/gammaCOP/TSG101/wun/pio/aft/Cdk4/pck/Stam/colt	10
GO:0009886	post-embryonic animal morphogenesis	13/103	488/12678	0.0266393442622951	3.27896705395512	4.64642536653108	0.000156765842262147	0.0217300914649115	0.0172112159382635	Drice/stck/gammaCOP/Diap1/Rap1/Atg9/Vang/ix/pio/gbb/Su(H)/Mad/al	13
GO:0023056	positive regulation of signaling	13/103	498/12678	0.0261044176706827	3.21312434202831	4.56005103140029	0.000191435040708674	0.0217300914649115	0.0172112159382635	14-3-3epsilon/E(spl)m2-BFM/stck/Diap1/Rap1/Atg9/Cdk4/gbb/CycD/Pp2A-29B/mts/dnt/Sumo	13
GO:0010647	positive regulation of cell communication	13/103	500/12678	0.026	3.20027184466019	4.54303643016807	0.000199109411089805	0.0217300914649115	0.0172112159382635	14-3-3epsilon/E(spl)m2-BFM/stck/Diap1/Rap1/Atg9/Cdk4/gbb/CycD/Pp2A-29B/mts/dnt/Sumo	13
GO:0001708	cell fate specification	6/103	106/12678	0.0566037735849057	6.96721011174208	5.58335108169414	0.000219772478353898	0.0217300914649115	0.0172112159382635	E(spl)malpha-BFM/E(spl)m2-BFM/gbb/exd/Su(H)/Mad	6
GO:0001654	eye development	12/103	440/12678	0.0272727272727273	3.35692850838482	4.5539722925607	0.000230041684889128	0.0217300914649115	0.0172112159382635	Drice/14-3-3epsilon/Diap1/Rap1/Vang/gbb/exd/Su(H)/mts/Mad/Rab6/Nup154	12
GO:0048880	sensory system development	12/103	440/12678	0.0272727272727273	3.35692850838482	4.5539722925607	0.000230041684889128	0.0217300914649115	0.0172112159382635	Drice/14-3-3epsilon/Diap1/Rap1/Vang/gbb/exd/Su(H)/mts/Mad/Rab6/Nup154	12
GO:0150063	visual system development	12/103	440/12678	0.0272727272727273	3.35692850838482	4.5539722925607	0.000230041684889128	0.0217300914649115	0.0172112159382635	Drice/14-3-3epsilon/Diap1/Rap1/Vang/gbb/exd/Su(H)/mts/Mad/Rab6/Nup154	12
GO:0000082	G1/S transition of mitotic cell cycle	4/103	41/12678	0.0975609756097561	12.0085247454416	6.38957422101384	0.000330277309647577	0.0253487835154515	0.0200773838233132	Cdk4/CycD/Su(H)/Mad	4
GO:0044843	cell cycle G1/S phase transition	4/103	41/12678	0.0975609756097561	12.0085247454416	6.38957422101384	0.000330277309647577	0.0253487835154515	0.0200773838233132	Cdk4/CycD/Su(H)/Mad	4
GO:0045465	R8 cell differentiation	4/103	41/12678	0.0975609756097561	12.0085247454416	6.38957422101384	0.000330277309647577	0.0253487835154515	0.0200773838233132	14-3-3epsilon/gbb/mts/Mad	4
GO:0009967	positive regulation of signal transduction	12/103	466/12678	0.0257510729613734	3.16963206800283	4.31875445247177	0.000387981120804171	0.0280259303733837	0.0221978053017371	14-3-3epsilon/E(spl)m2-BFM/stck/Diap1/Rap1/Atg9/Cdk4/CycD/Pp2A-29B/mts/dnt/Sumo	12
GO:0048707	instar larval or pupal morphogenesis	12/103	473/12678	0.025369978858351	3.12272419384634	4.25822013296565	0.000443611972158472	0.0287500871741045	0.0227713702630487	Drice/stck/Diap1/Rap1/Atg9/Vang/ix/pio/gbb/Su(H)/Mad/al	12
GO:0010623	programmed cell death involved in cell development	5/103	79/12678	0.0632911392405063	7.79034042030232	5.47910868950167	0.000449334277120687	0.0287500871741045	0.0227713702630487	Drice/Diap1/Atg9/wun/Nup154	5
GO:0001745	compound eye morphogenesis	10/103	346/12678	0.0289017341040462	3.55743868903979	4.36515212021967	0.000500101637909396	0.0287500871741045	0.0227713702630487	Drice/14-3-3epsilon/Diap1/Rap1/Vang/gbb/Su(H)/mts/Mad/Rab6	10
