Geneid	RpS12_C_RNA	RpS12_B_RNA	RpS12_A_RNA	Xrp1_C_RNA	Xrp1_B_RNA	Xrp1_A_RNA
FBGN0038542	48	54	167	53	31	28
FBGN0039592	24	68	98	26	12	10
FBGN0038067	7	23	16	10	13	20
FBGN0039602	3272	3678	3883	3263	3389	3395
FBGN0264897	0	2	14	10	3	0
FBGN0038565	63	24	28	21	57	0
FBGN0039331	28	22	47	23	18	9
FBGN0019972	5369	6130	5617	5216	5512	5871
FBGN0046873	6	2	3	3	1	4
FBGN0038756	4	20	0	5	2	14
FBGN0039627	971	719	897	1070	1270	1171
FBGN0039436	7	69	0	49	23	16
FBGN0051092	21311	21291	21959	16696	17722	17266
FBGN0039089	14	17	25	19	37	25
FBGN0064119	43	76	11	43	13	63
FBGN0250820	2078	1861	2051	1852	2360	2298
FBGN0284229	0	4	0	0	0	0
FBGN0038886	43	10	26	75	17	17
FBGN0038243	49	35	96	62	53	84
FBGN0283468	8428	8313	8953	7205	8343	7814
FBGN0038598	57	79	90	159	148	197
FBGN0038407	261	107	316	231	102	156
FBGN0038627	351	500	452	641	635	551
FBGN0027654	43	56	123	45	67	132
FBGN0037236	3989	3705	4043	4445	4423	4514
FBGN0003890	483	475	757	2907	3156	3832
FBGN0000463	15455	17795	16245	13840	15518	14346
FBGN0039761	0	8	31	15	2	2
FBGN0051415	18	15	33	65	14	13
FBGN0037970	26	8	68	66	91	78
FBGN0051463	12	0	0	38	14	27
FBGN0051077	15	14	28	61	11	42
FBGN0037723	2269	2405	2363	2367	3070	2941
FBGN0028374	0	12	4	7	5	0
FBGN0004622	29	51	54	52	26	18
FBGN0053207	2270	2761	2214	1823	1933	2255
FBGN0038890	4005	3173	3887	3618	3985	3972
FBGN0010770	2669	2594	2366	3178	3764	3161
FBGN0046763	7152	6833	7089	8628	9942	8826
FBGN0038465	77	121	903	92	145	38
FBGN0038402	12	2	16	30	10	22
FBGN0261108	3678	3393	3103	3108	3513	3984
FBGN0039087	26	15	5	17	10	10
FBGN0262605	7	4	6	3	18	0
FBGN0263040	28	6	19	39	2	18
FBGN0020907	33	2	2	5	7	14
FBGN0038903	849	759	719	494	781	804
FBGN0037472	2378	2872	2298	1550	2030	1809
FBGN0263977	6096	5915	6627	5166	6280	5694
FBGN0261060	2	0	4	6	0	1
FBGN0015568	43	27	256	35	24	45
FBGN0011270	2	0	13	30	0	7
FBGN0051116	137	117	293	132	92	59
FBGN0262577	24	85	1099	19	16	12
FBGN0039030	10	16	18	19	11	8
FBGN0053105	8773	10522	9577	4933	5353	5730
FBGN0037516	0	0	8	2	7	1
FBGN0051265	1	7	40	34	12	0
FBGN0051163	24340	30861	27630	21494	23790	23948
FBGN0039189	2430	2602	2250	2140	2836	2305
FBGN0039858	33930	38859	38366	28249	32041	32491
FBGN0261561	427	369	298	592	500	520
FBGN0002905	6943	7853	7058	10755	12171	11882
FBGN0003676	18568	18421	17442	16956	20610	20742
FBGN0040629	24	15	1	1	8	6
FBGN0038246	26	21	12	26	24	23
FBGN0043005	86	33	40	73	16	7
FBGN0038815	3497	4100	2997	3175	2876	3485
FBGN0015569	239	348	397	327	290	232
FBGN0038960	29	29	20	8	15	10
FBGN0067317	20	23	4	7	8	2
FBGN0039544	3626	4216	3265	2949	3447	3160
FBGN0038356	4	0	0	4	2	4
FBGN0051437	13	1	39	31	28	30
FBGN0028400	82	68	54	15	2	32
FBGN0039233	1110	1125	1218	1368	1652	1662
FBGN0288631	5072	4985	5173	4061	4765	4776
FBGN0039225	45	30	89	43	58	34
FBGN0051327	46	21	55	51	30	35
FBGN0261290	6	0	5	12	5	6
FBGN0002609	2989	3659	3281	2345	2413	2604
FBGN0051013	8	9	38	31	13	12
FBGN0037898	130	186	242	49	174	121
FBGN0051206	4	1	0	45	18	2
FBGN0038037	353	760	4751	371	306	413
FBGN0037449	51	13	30	10	10	8
FBGN0002924	13124	11883	12603	12514	12496	14188
FBGN0037623	1211	1679	1666	915	933	1092
FBGN0038989	3941	3736	3440	3394	4125	4355
FBGN0038526	4	18	9	14	1	2
FBGN0038203	22	0	5	0	21	18
FBGN0037608	1948	1903	2075	1542	2028	2002
FBGN0260713	0	12	0	10	32	9
FBGN0037483	55	54	68	69	58	91
FBGN0028476	7028	7494	7380	6186	6681	6913
FBGN0038046	5022	5070	4341	3982	4182	4905
FBGN0051202	65	64	42	36	60	46
FBGN0039147	0	14	19	28	43	10
FBGN0038349	1448	1406	1587	1363	1568	1897
FBGN0010441	2971	2877	2386	1752	2284	2405
FBGN0039402	1810	2154	1730	1527	1651	1768
FBGN0037715	328	314	326	160	188	252
FBGN0010399	66	57	34	82	91	42
FBGN0267975	3755	4026	3684	2602	3922	3435
FBGN0015331	4922	4378	4732	3775	4602	4375
FBGN0027948	38438	40432	41050	38776	39971	40575
FBGN0011655	6311	7581	6670	6215	6346	7327
FBGN0266758	269	470	916	341	431	462
FBGN0004781	3	8	23	50	13	11
FBGN0085346	314	313	294	237	289	504
FBGN0039075	84	51	95	166	159	75
FBGN0000274	32	4	24	22	11	19
FBGN0039448	1	4	23	6	9	6
FBGN0003356	64	27	154	261	42	60
FBGN0039094	81	130	408	90	104	78
FBGN0010044	2	1	0	9	0	2
FBGN0051223	1049	1036	1397	792	973	1192
FBGN0263490	21285	23582	22034	18010	20067	19828
FBGN0250910	51	27	107	65	77	62
FBGN0262617	7345	7765	7329	6161	7098	6803
FBGN0038360	2116	2044	1944	1595	1847	1631
FBGN0051352	46667	51376	47966	21376	22511	24269
FBGN0037290	39	25	21	27	9	37
FBGN0038069	24	19	52	8	39	8
FBGN0037262	2922	3156	2999	2661	3357	3086
FBGN0045473	8	22	0	35	27	20
FBGN0039840	12	28	41	37	33	1
FBGN0037679	1518	1242	1526	1137	1008	1173
FBGN0039282	33	15	48	75	52	72
FBGN0037896	22	22	8	65	10	33
FBGN0266668	2235	2001	1959	1923	1985	1707
FBGN0037363	6192	6705	6177	5247	6043	6043
FBGN0014018	5447	5513	5230	4646	4775	5008
FBGN0037552	1083	881	1035	836	970	856
FBGN0037488	20	64	50	24	32	3
FBGN0038597	3175	2695	3039	3146	3423	4018
FBGN0082582	10490	10685	10357	8846	8981	9255
FBGN0040279	420	440	364	381	338	393
FBGN0261844	2399	2650	2170	1724	1456	2092
FBGN0002868	122	315	2985	26	33	57
FBGN0037589	61	36	23	53	30	76
FBGN0038468	61	54	31	70	31	57
FBGN0010389	1413	1749	1400	1131	1818	1791
FBGN0039371	9	0	22	9	7	3
FBGN0259152	5285	5539	5149	4480	5283	4593
FBGN0051560	5	14	14	24	7	1
FBGN0037782	0	127	1118	13	13	0
FBGN0039347	36	72	24	69	67	59
FBGN0037668	92	38	99	58	46	47
FBGN0038881	22476	25239	22911	19819	22147	21137
FBGN0011669	0	0	0	12	0	5
FBGN0038796	7	15	14	5	6	11
FBGN0038014	49	97	76	34	42	36
FBGN0038210	13	3	0	8	2	11
