Geneid	Xrp1_C_RNA	Xrp1_B_RNA	Xrp1_A_RNA	RpS12_RpS3_C_RNA	RpS12_RpS3_B_RNA	RpS12_RpS3_A_RNA
FBGN0038542	53	31	28	101	15	58
FBGN0039592	26	12	10	0	36	14
FBGN0038067	10	13	20	9	19	7
FBGN0039602	3263	3389	3395	3265	4577	2673
FBGN0264897	10	3	0	0	0	0
FBGN0038565	21	57	0	43	18	38
FBGN0039331	23	18	9	40	57	51
FBGN0019972	5216	5512	5871	6066	8313	5098
FBGN0046873	3	1	4	0	0	10
FBGN0038756	5	2	14	0	0	8
FBGN0039627	1070	1270	1171	1497	2193	1253
FBGN0039436	49	23	16	26	62	48
FBGN0051092	16696	17722	17266	18351	24413	14894
FBGN0039089	19	37	25	4	13	50
FBGN0064119	43	13	63	22	30	39
FBGN0250820	1852	2360	2298	2189	2456	1548
FBGN0284229	0	0	0	0	1	0
FBGN0038886	75	17	17	19	26	19
FBGN0038243	62	53	84	79	90	115
FBGN0283468	7205	8343	7814	7107	11265	7142
FBGN0038598	159	148	197	247	238	102
FBGN0038407	231	102	156	208	230	141
FBGN0038627	641	635	551	372	391	323
FBGN0027654	45	67	132	81	97	116
FBGN0037236	4445	4423	4514	5391	7409	5200
FBGN0003890	2907	3156	3832	358	579	415
FBGN0000463	13840	15518	14346	13486	18540	12283
FBGN0039761	15	2	2	10	4	7
FBGN0051415	65	14	13	36	32	12
FBGN0037970	66	91	78	43	99	90
FBGN0051463	38	14	27	8	9	28
FBGN0051077	61	11	42	32	36	16
FBGN0037723	2367	3070	2941	3731	5840	3284
FBGN0028374	7	5	0	25	0	2
FBGN0004622	52	26	18	30	0	38
FBGN0053207	1823	1933	2255	2026	2475	1865
FBGN0038890	3618	3985	3972	3982	5168	3360
FBGN0010770	3178	3764	3161	3973	5807	3861
FBGN0046763	8628	9942	8826	8497	10582	8333
FBGN0038465	92	145	38	270	350	170
FBGN0038402	30	10	22	38	3	8
FBGN0261108	3108	3513	3984	4100	4897	3431
FBGN0039087	17	10	10	29	28	11
FBGN0262605	3	18	0	19	16	4
FBGN0263040	39	2	18	47	16	16
FBGN0020907	5	7	14	6	7	2
FBGN0038903	494	781	804	810	1735	1023
FBGN0037472	1550	2030	1809	1649	2454	1324
FBGN0263977	5166	6280	5694	6847	9398	6317
FBGN0261060	6	0	1	10	0	0
FBGN0015568	35	24	45	66	56	34
FBGN0011270	30	0	7	15	6	19
FBGN0051116	132	92	59	64	129	132
FBGN0262577	19	16	12	15	39	64
FBGN0039030	19	11	8	28	42	10
FBGN0053105	4933	5353	5730	6997	10272	6214
FBGN0037516	2	7	1	2	0	1
FBGN0051265	34	12	0	6	7	3
FBGN0051163	21494	23790	23948	20850	29045	17938
FBGN0039189	2140	2836	2305	3010	3691	2863
FBGN0039858	28249	32041	32491	29287	42180	23336
FBGN0261561	592	500	520	350	786	340
FBGN0002905	10755	12171	11882	11402	15427	10747
FBGN0003676	16956	20610	20742	20823	28958	17603
FBGN0040629	1	8	6	0	0	20
FBGN0038246	26	24	23	24	2	6
FBGN0043005	73	16	7	38	13	34
FBGN0038815	3175	2876	3485	2792	4526	2494
FBGN0015569	327	290	232	168	316	271
FBGN0038960	8	15	10	37	14	44
FBGN0067317	7	8	2	23	34	16
FBGN0039544	2949	3447	3160	3302	5111	3214
FBGN0038356	4	2	4	0	6	7
FBGN0051437	31	28	30	10	15	21
FBGN0028400	15	2	32	52	46	42
FBGN0039233	1368	1652	1662	1770	2501	1589
FBGN0288631	4061	4765	4776	4759	6128	4352
FBGN0039225	43	58	34	73	90	32
FBGN0051327	51	30	35	16	5	58
FBGN0261290	12	5	6	0	2	0
FBGN0002609	2345	2413	2604	1922	3251	1957
FBGN0051013	31	13	12	48	1	51
FBGN0037898	49	174	121	236	301	157
FBGN0051206	45	18	2	28	0	8
FBGN0038037	371	306	413	537	891	256
FBGN0037449	10	10	8	27	12	2
FBGN0002924	12514	12496	14188	16793	24250	14624
FBGN0037623	915	933	1092	1434	2068	1071
FBGN0038989	3394	4125	4355	4802	7136	4110
FBGN0038526	14	1	2	8	7	5
FBGN0038203	0	21	18	3	0	8
FBGN0037608	1542	2028	2002	2130	3551	1997
FBGN0260713	10	32	9	18	11	14
FBGN0037483	69	58	91	32	80	78
FBGN0028476	6186	6681	6913	5891	8790	4970
FBGN0038046	3982	4182	4905	5153	7416	3732
FBGN0051202	36	60	46	37	6	56
FBGN0039147	28	43	10	66	3	49
FBGN0038349	1363	1568	1897	3217	4470	2633
FBGN0010441	1752	2284	2405	2793	3576	2408
FBGN0039402	1527	1651	1768	1618	2672	1747
FBGN0037715	160	188	252	464	627	369
FBGN0010399	82	91	42	49	28	78
FBGN0267975	2602	3922	3435	3424	4970	3433
FBGN0015331	3775	4602	4375	4373	6911	3783
FBGN0027948	38776	39971	40575	40951	55547	35531
FBGN0011655	6215	6346	7327	5670	8732	5313
FBGN0266758	341	431	462	2104	2929	2206
FBGN0004781	50	13	11	2	24	37
FBGN0085346	237	289	504	435	648	431
FBGN0039075	166	159	75	28	92	111
FBGN0000274	22	11	19	28	25	46
FBGN0039448	6	9	6	0	12	5
