baseMean	log2FoldChange	lfcSE	pvalue	padj
FBGN0038542	49.3114993646826	-0.0602752402098622	0.261258830113553	0.477979431393904	0.675848502908109
FBGN0039592	15.563465225443	0.0137726887955424	0.262517323043073	0.802741347274499	NA
FBGN0038067	12.6410711774291	0.0331805366297859	0.262972938024588	0.596735757747453	NA
FBGN0039602	3366.52480519645	0.158311871518333	0.0820218116420191	0.0420954264904958	0.127514025125193
FBGN0264897	2.38458614059251	0.020756512048888	0.268797686522887	0.148432053691818	NA
FBGN0038565	30.0989689648222	-0.0129217156920055	0.260457565488714	0.830372393245427	0.915404548309803
FBGN0039331	31.8377754814127	-0.179536457899264	0.336582018054155	0.0685016830251343	0.185692479967358
FBGN0019972	5886.63721018742	0.000805227315381158	0.0668665429357197	0.990867696724077	0.996468595049471
FBGN0046873	3.26806921067878	-0.00384652944774743	0.266272184475023	0.886980051714607	NA
FBGN0038756	5.17434330409958	0.0203824418554135	0.26704804773882	0.522709283685538	NA
FBGN0039627	1364.58756473222	-0.220414287010941	0.117180812374534	0.0362898488922911	0.114380595906298
FBGN0039436	36.4919742436289	-0.0443887248956242	0.256229690218096	0.607898963964523	0.777434327491273
FBGN0051092	17889.6206645402	0.0708261091254256	0.0557329179956802	0.19345627950619	0.385975656727039
FBGN0039089	25.7319710577547	0.0230251689705899	0.25978462522612	0.737306756268303	NA
FBGN0064119	35.5965813385951	0.0609484877567597	0.262163585488048	0.471300558757715	0.67089541919736
FBGN0250820	2094.96623685951	0.253925674395551	0.11863477023072	0.0172665824530419	0.0641393452953472
FBGN0284229	0.120108995908897	-0.00842039385706074	0.267637617973297	0.852573483761386	NA
FBGN0038886	29.6381116717721	0.0957895128145667	0.279344863737322	0.228526067596176	0.432542319868134
FBGN0038243	80.3680847275272	-0.0838313333873728	0.247979449917032	0.471599667561595	0.671132785397437
FBGN0283468	7988.63386043795	0.100197944377618	0.0707918760103854	0.14211739967847	0.313647997854051
FBGN0038598	177.660037420014	0.00659184527794277	0.214244787186474	0.961324478936559	0.983732748829026
FBGN0038407	175.775433534266	-0.00155424916607512	0.217481368065475	0.987082084745038	0.994741998186176
FBGN0038627	493.079458612247	0.873553773045688	0.210999504602893	2.99479656282258e-06	3.80103028079897e-05
FBGN0027654	89.2856793713871	-0.0240563175164392	0.238140442708942	0.825507153254738	0.912222735224616
FBGN0037236	5117.74793773011	-0.193302179642671	0.0726685561061633	0.00549100218132944	0.0257320947878289
FBGN0003890	1957.64860937859	3.08350172533768	0.129741581384078	3.9569209368989e-126	1.33757117403639e-122
FBGN0000463	14477.8847727088	0.199093823302874	0.0553019660638841	0.000226187904221861	0.00175498969909249
FBGN0039761	6.91433785191908	0.00102300524440735	0.263878658903775	0.985331460995362	NA
FBGN0051415	28.8052617703782	0.0401325794848275	0.260598769755506	0.59110960864268	0.764889950394975
FBGN0037970	77.1909285372867	0.052249245155542	0.240795141885477	0.647797887425299	0.805277310474912
FBGN0051463	21.7480888071619	0.0664360694272646	0.269853590883258	0.34077713145946	NA
FBGN0051077	33.1078781339698	0.0729632152714142	0.267304828478797	0.377982026436817	0.590719142036197
FBGN0037723	3407.13907647077	-0.350251925329157	0.0993166257500235	0.000157174310745125	0.00128024472712154
FBGN0028374	6.67885361523306	-0.0177841510052304	0.266432192559237	0.59890324261243	NA
FBGN0004622	29.2891784985312	0.0304795782509459	0.262707628388542	0.62321055516737	0.788322095541012
FBGN0053207	2041.71550035408	0.109331457788888	0.104466261803354	0.255256121068598	0.464397618183828
FBGN0038890	3952.25975857042	0.104624916774383	0.073933467598819	0.140405604241837	0.311156737896955
FBGN0010770	3859.32276873195	-0.18820735562167	0.0870737986570825	0.0215239721445271	0.076106904294857
FBGN0046763	9074.09304163508	0.193232444407891	0.0774580183939781	0.0089539232570209	0.0379059645577614
FBGN0038465	166.964802897881	-0.92540943694841	0.507229286859378	0.00317873591234073	0.0163881855043454
FBGN0038402	19.254338463274	0.0257459511473726	0.262025377409127	0.67738588811779	NA
FBGN0261108	3777.37752611916	-0.0139219826152189	0.0886525955673271	0.86735167213907	0.935525771874315
FBGN0039087	16.8239667000714	-0.0435786386074497	0.263207841730258	0.522915483377408	NA
FBGN0262605	9.48923443660329	-0.0188809182614702	0.264841075472159	0.670240562612199	NA
FBGN0263040	23.3762384967832	-0.0142163078657978	0.259927461628153	0.820774149799574	NA
FBGN0020907	6.77022261760672	0.0331179079873502	0.266679072886714	0.477391886702748	NA
FBGN0038903	897.761534644097	-0.42825087753204	0.204012285147462	0.00778211991863099	0.0339605263190051
FBGN0037472	1765.93122220117	0.201041627620217	0.117118466647504	0.0574895264518638	0.163718418351124
FBGN0263977	6464.45720662731	-0.162696911338104	0.0705222867980778	0.0159167125138738	0.0599596514127764
FBGN0261060	2.94579830520362	-0.00294153423976442	0.266595594539753	0.901071958729975	NA
FBGN0015568	42.3872362326633	-0.0564116926357567	0.2540310617499	0.559247661596065	0.741932304584733
FBGN0011270	13.5067392082427	0.00112102014912264	0.262913629864224	0.986433126645099	NA
FBGN0051116	101.201799311487	0.00296539167508411	0.234523531284101	0.981794407967788	0.992523038331822
FBGN0262577	27.3615059956939	-0.109782694289963	0.287239146959838	0.168358188896645	0.351445120131923
FBGN0039030	18.356290835757	-0.0544731377392206	0.265881325239789	0.430616002477931	NA
FBGN0053105	6377.04327437187	-0.304703772266921	0.0692869910644347	5.14558230504171e-06	6.25675661336066e-05
FBGN0037516	2.27684956526191	0.0172148522419803	0.26744312871817	0.492691288383879	NA
FBGN0051265	10.8070940847719	0.0533344790553169	0.272256458854737	0.223611267457072	NA
FBGN0051163	22524.0019432834	0.251246292837827	0.0502090371481198	2.3612479537381e-07	3.83740632994521e-06
FBGN0039189	2759.19371676543	-0.162988831063255	0.106589738231216	0.0941800091187073	0.234145494599855
FBGN0039858	30661.9462550239	0.201339150241944	0.0626486565315489	0.000921014612349232	0.00580124794026929
FBGN0261561	502.076435247583	0.281290991526733	0.215733596882458	0.0720305805478593	0.192972304135896
FBGN0002905	11893.687204811	0.104767526684744	0.0570122640635554	0.0589205196110272	0.166670289923411
FBGN0003676	20495.0856393361	0.0207827903413771	0.0610958005853529	0.727594990741091	0.855951564623366
FBGN0040629	6.30090222369536	-0.00774935216446132	0.265700677252252	0.814662803434844	NA
FBGN0038246	18.3080099812463	0.0749052491148029	0.275629558725154	0.229231012322129	NA
FBGN0043005	31.7116597053912	0.0241827873447511	0.259136500633586	0.73419192291392	0.860118925925613
FBGN0038815	3159.16834015716	0.185019582977236	0.101384913044716	0.0481284256852854	0.142419131857158
FBGN0015569	267.139196549797	0.196385489599642	0.239028563169526	0.193161460731945	0.385752338180909
FBGN0038960	21.7424716534481	-0.113140945332105	0.29241283673609	0.122036688768466	NA
FBGN0067317	13.8798427914462	-0.101986003603178	0.289869081486842	0.0951621544880577	NA
FBGN0039544	3447.47764171702	-0.0443473323155614	0.0832652586805749	0.574222389926438	0.753323319048384
FBGN0038356	3.79561605574576	-0.00263554621138701	0.265538811917429	0.934698916512204	NA
