baseMean	log2FoldChange	lfcSE	pvalue	padj
FBGN0038542	0	NA	NA	NA	NA
FBGN0039592	0.155063195062935	0.00230620254212899	0.136543412075669	0.807567896049385	NA
FBGN0038067	0	NA	NA	NA	NA
FBGN0039602	49.9158546664636	-0.0155102120341677	0.12553991650324	0.761104602548762	0.968186047136808
FBGN0264897	0	NA	NA	NA	NA
FBGN0038565	0	NA	NA	NA	NA
FBGN0039331	0	NA	NA	NA	NA
FBGN0019972	184.664355999895	0.115791746675202	0.139471597258948	0.144330682149942	0.637312503256039
FBGN0046873	0	NA	NA	NA	NA
FBGN0038756	0.620252780251741	0.00504794575991037	0.136644039252071	0.385574203857746	NA
FBGN0039627	69.033991015655	-0.0595182422156704	0.134986166482675	0.319731422787549	0.813999605999592
FBGN0039436	0	NA	NA	NA	NA
FBGN0051092	315.137243561019	0.00217845597948826	0.0971112483208475	0.975539011847935	0.995943449441094
FBGN0039089	1.02397040717882	0.00788165865171228	0.136824602507586	0.190377162682285	NA
FBGN0064119	0	NA	NA	NA	NA
FBGN0250820	54.7507167165653	0.0549732589425725	0.137624065178523	0.309424319111545	0.803404313238596
FBGN0284229	0	NA	NA	NA	NA
FBGN0038886	0	NA	NA	NA	NA
FBGN0038243	1.94542743930282	0.00166883880262683	0.136026855263457	0.890583069771176	0.987048062145734
FBGN0283468	183.212509977534	0.0538686310309818	0.114082445675114	0.439929657208894	0.871053769527643
FBGN0038598	0.146281486739831	0.00227175424956599	0.136542341768363	0.807567896049385	NA
FBGN0038407	5.07253268224687	0.0144693754683972	0.136294127152746	0.457473778835638	0.880681357204713
FBGN0038627	12.3468911254267	0.0373899022782144	0.140607588216293	0.21412416311326	0.722744951478433
FBGN0027654	0.866063364189701	-0.000700747258283032	0.136349364574089	0.924685331005835	NA
FBGN0037236	153.598170284524	-0.0578899858641984	0.121013121739184	0.394944867191827	0.849088453043893
FBGN0003890	88.9851788666058	0.8918065846292	0.31646867418932	0.000200566105896857	0.00966574348802928
FBGN0000463	544.006909022767	0.152591409575517	0.102452141646175	0.049479292115966	0.408364535730995
FBGN0039761	0	NA	NA	NA	NA
FBGN0051415	0	NA	NA	NA	NA
FBGN0037970	0	NA	NA	NA	NA
FBGN0051463	0	NA	NA	NA	NA
FBGN0051077	0	NA	NA	NA	NA
FBGN0037723	121.916510012958	-0.251370611721301	0.247897094318846	0.0237802397822429	0.294530218587977
FBGN0028374	0	NA	NA	NA	NA
FBGN0004622	0	NA	NA	NA	NA
FBGN0053207	27.7349990295728	-0.0408953023005966	0.13817841633446	0.318933753584876	0.812794562525797
FBGN0038890	42.4625301209502	0.00586571095130548	0.126874295242364	0.902909639080569	0.987889951888632
FBGN0010770	113.115717608712	-0.0440616806488659	0.122239144776238	0.487422495443202	0.892745956192662
FBGN0046763	285.957401686545	-0.150573511459523	0.130297948565255	0.0750667216211992	0.492989278849735
FBGN0038465	4.7552546575261	-0.0208871842355598	0.137670721428666	0.256907060551506	0.759806168853746
FBGN0038402	0	NA	NA	NA	NA
FBGN0261108	103.414616385973	-0.0571054616492258	0.126932378826765	0.377969684163742	0.839349717119784
FBGN0039087	0	NA	NA	NA	NA
FBGN0262605	0	NA	NA	NA	NA
FBGN0263040	0.121816711627365	-0.00225781772167863	0.136542865632772	0.819770842782446	NA
FBGN0020907	0.416495854076153	-0.00345684094160082	0.136583609419267	0.5733494847232	NA
FBGN0038903	22.3875587104087	-0.0270612984001512	0.134320866869237	0.478628643748891	0.889626086492285
