Geneid	RpS12_RpS3_A_Ribo	RpS12_RpS3_B_Ribo	RpS12_RpS3_C_Ribo	Xrp1_A_Ribo	Xrp1_B_Ribo	Xrp1_C_Ribo
FBGN0038542	0	0	0	0	0	0
FBGN0039592	0	0	0	0	0	1
FBGN0038067	0	0	0	0	0	0
FBGN0039602	55	42	62	37	54	55
FBGN0264897	0	0	0	0	0	0
FBGN0038565	0	0	0	0	0	0
FBGN0039331	0	0	0	0	0	0
FBGN0019972	138	145	246	178	229	195
FBGN0046873	0	0	0	0	0	0
FBGN0038756	0	0	0	0	0	4
FBGN0039627	76	51	113	50	66	74
FBGN0039436	0	0	0	0	0	0
FBGN0051092	337	223	430	253	341	359
FBGN0039089	0	0	0	0	7	0
FBGN0064119	0	0	0	0	0	0
FBGN0250820	58	35	59	41	85	60
FBGN0284229	0	0	0	0	0	0
FBGN0038886	0	0	0	0	0	0
FBGN0038243	1	3	1	2	1	3
FBGN0283468	178	138	228	172	220	181
FBGN0038598	0	0	0	0	1	0
FBGN0038407	4	1	8	6	7	6
FBGN0038627	7	6	17	10	17	21
FBGN0027654	0	1	2	2	0	0
FBGN0037236	185	108	217	127	163	145
FBGN0003890	65	42	73	56	164	158
FBGN0000463	510	395	672	445	673	651
FBGN0039761	0	0	0	0	0	0
FBGN0051415	0	0	0	0	0	0
FBGN0037970	0	0	0	0	0	0
FBGN0051463	0	0	0	0	0	0
FBGN0051077	0	0	0	0	0	0
FBGN0037723	151	91	214	71	134	106
FBGN0028374	0	0	0	0	0	0
FBGN0004622	0	0	0	0	0	0
FBGN0053207	30	32	34	17	36	19
FBGN0038890	49	25	59	34	57	40
FBGN0010770	100	90	191	89	106	128
FBGN0046763	318	260	380	214	293	279
FBGN0038465	3	8	9	2	3	4
FBGN0038402	0	0	0	0	0	0
FBGN0261108	103	99	138	81	118	91
FBGN0039087	0	0	0	0	0	0
FBGN0262605	0	0	0	0	0	0
FBGN0263040	0	0	1	0	0	0
FBGN0020907	0	2	0	0	0	0
FBGN0038903	28	16	35	13	22	26
FBGN0037472	106	59	144	64	106	87
FBGN0263977	407	362	635	350	418	340
FBGN0261060	0	0	0	0	0	0
FBGN0015568	0	0	0	0	0	1
FBGN0011270	0	0	0	0	0	0
FBGN0051116	0	0	1	0	0	1
FBGN0262577	0	0	0	0	0	0
FBGN0039030	0	0	0	0	0	0
FBGN0053105	0	0	0	0	0	0
FBGN0037516	0	0	0	0	0	0
FBGN0051265	0	0	0	0	0	0
FBGN0051163	300	214	348	280	334	293
FBGN0039189	78	44	82	27	61	31
FBGN0039858	134	80	181	112	171	137
FBGN0261561	6	8	5	6	5	21
FBGN0002905	202	152	259	155	196	188
FBGN0003676	1344	1140	2145	1051	1597	1508
FBGN0040629	0	0	0	0	0	0
FBGN0038246	0	0	0	0	0	0
FBGN0043005	0	0	0	0	0	0
FBGN0038815	16	13	43	25	46	22
FBGN0015569	4	4	7	2	13	11
FBGN0038960	0	0	0	0	0	0
FBGN0067317	0	0	0	0	0	0
FBGN0039544	34	27	30	22	33	25
FBGN0038356	0	0	0	0	0	0
FBGN0051437	0	0	0	0	0	0
FBGN0028400	0	3	0	0	0	1
FBGN0039233	78	85	143	66	95	103
FBGN0288631	148	121	207	164	189	182
FBGN0039225	0	0	0	0	0	0
FBGN0051327	0	0	0	0	0	0
FBGN0261290	0	0	0	0	0	0
FBGN0002609	22	21	55	17	54	31
FBGN0051013	0	0	0	0	0	0
FBGN0037898	8	3	21	6	13	7
FBGN0051206	0	0	0	0	0	0
FBGN0038037	1	3	0	2	0	0
FBGN0037449	0	0	0	0	0	0
FBGN0002924	330	233	497	260	345	370
FBGN0037623	13	18	28	25	34	29
FBGN0038989	137	137	246	137	159	184
FBGN0038526	0	0	0	0	0	0
FBGN0038203	0	0	0	0	0	0
FBGN0037608	76	51	110	52	86	75
FBGN0260713	0	0	0	0	0	0
FBGN0037483	0	0	0	0	0	0
FBGN0028476	111	80	110	99	110	93
FBGN0038046	281	206	419	215	322	340
FBGN0051202	0	0	0	0	0	0
FBGN0039147	0	0	0	0	0	0
FBGN0038349	102	97	149	92	94	126
FBGN0010441	28	34	68	33	77	80
FBGN0039402	104	112	195	95	141	123
FBGN0037715	0	3	14	6	13	7
FBGN0010399	0	0	0	0	0	0
FBGN0267975	127	119	258	120	143	147
FBGN0015331	75	76	136	76	93	117
FBGN0027948	910	816	1241	829	1108	1074
FBGN0011655	120	66	114	114	138	149
FBGN0266758	17	27	31	9	8	9
FBGN0004781	0	0	0	0	0	0
FBGN0085346	11	4	21	1	2	2
FBGN0039075	0	0	0	0	0	0
FBGN0000274	0	0	0	0	0	1
FBGN0039448	0	0	0	0	0	0
FBGN0003356	0	0	0	0	1	0
FBGN0039094	1	3	5	7	2	3
FBGN0010044	0	0	0	0	0	0
FBGN0051223	43	46	82	54	57	42
FBGN0263490	178	110	175	104	174	157
FBGN0250910	0	0	0	0	0	0
FBGN0262617	75	45	88	77	97	93
FBGN0038360	92	67	97	60	73	88
FBGN0051352	13	6	7	6	16	7
FBGN0037290	2	0	1	0	0	0
FBGN0038069	0	0	0	0	0	0
FBGN0037262	54	41	76	29	68	71
FBGN0045473	0	0	0	0	0	0
FBGN0039840	0	0	0	0	0	0
FBGN0037679	8	10	17	5	10	11
FBGN0039282	0	0	0	0	0	0
FBGN0037896	0	0	0	0	0	0
FBGN0266668	128	83	156	101	127	115
FBGN0037363	99	80	150	87	130	126
FBGN0014018	116	87	155	72	130	131
FBGN0037552	40	33	64	43	30	26
FBGN0037488	0	0	0	0	0	0
FBGN0038597	222	188	330	172	262	268
FBGN0082582	294	237	411	196	310	305
FBGN0040279	43	17	53	19	22	28
FBGN0261844	27	20	27	17	29	31
FBGN0002868	0	1	1	0	0	0
FBGN0037589	0	0	0	0	0	0
FBGN0038468	0	0	0	0	0	0
FBGN0010389	54	57	74	37	85	57
FBGN0039371	0	0	1	0	0	0
FBGN0259152	112	90	193	112	141	133
FBGN0051560	0	0	0	0	0	0
FBGN0037782	0	0	0	0	0	0
FBGN0039347	0	0	0	0	0	0
FBGN0037668	0	0	0	0	0	0
FBGN0038881	274	193	336	259	288	273
FBGN0011669	0	0	0	0	0	0
FBGN0038796	0	0	0	0	0	0
FBGN0038014	0	0	0	0	0	0
FBGN0038210	0	0	0	0	0	0
FBGN0041621	0	0	0	0	0	0
FBGN0037911	11	7	17	7	25	11
