Geneid	Xrp1_C_RNA	Xrp1_B_RNA	Xrp1_A_RNA	RpS3_C_RNA	RpS3_B_RNA	RpS3_A_RNA
FBGN0038542	53	31	28	34	79	44
FBGN0039592	26	12	10	4	41	35
FBGN0038067	10	13	20	30	31	10
FBGN0039602	3263	3389	3395	3346	3044	2728
FBGN0264897	10	3	0	6	1	0
FBGN0038565	21	57	0	38	31	22
FBGN0039331	23	18	9	7	39	14
FBGN0019972	5216	5512	5871	5370	5338	4954
FBGN0046873	3	1	4	6	3	7
FBGN0038756	5	2	14	17	5	1
FBGN0039627	1070	1270	1171	1816	1712	1460
FBGN0039436	49	23	16	15	43	26
FBGN0051092	16696	17722	17266	12740	12331	11213
FBGN0039089	19	37	25	13	12	29
FBGN0064119	43	13	63	56	24	38
FBGN0250820	1852	2360	2298	2293	2167	1981
FBGN0284229	0	0	0	0	9	6
FBGN0038886	75	17	17	58	38	17
FBGN0038243	62	53	84	105	95	54
FBGN0283468	7205	8343	7814	7639	7453	6500
FBGN0038598	159	148	197	126	101	129
FBGN0038407	231	102	156	323	302	204
FBGN0038627	641	635	551	572	594	475
FBGN0027654	45	67	132	136	85	90
FBGN0037236	4445	4423	4514	4187	4251	3591
FBGN0003890	2907	3156	3832	1800	2005	2157
FBGN0000463	13840	15518	14346	11631	11089	10245
FBGN0039761	15	2	2	28	0	7
FBGN0051415	65	14	13	33	36	21
FBGN0037970	66	91	78	48	59	65
FBGN0051463	38	14	27	6	20	9
FBGN0051077	61	11	42	68	44	28
FBGN0037723	2367	3070	2941	3092	3532	2901
FBGN0028374	7	5	0	23	1	14
FBGN0004622	52	26	18	21	39	30
FBGN0053207	1823	1933	2255	1229	1233	1205
FBGN0038890	3618	3985	3972	4126	3985	3626
FBGN0010770	3178	3764	3161	4341	4877	3545
FBGN0046763	8628	9942	8826	13774	13255	12063
FBGN0038465	92	145	38	318	319	334
FBGN0038402	30	10	22	6	11	5
FBGN0261108	3108	3513	3984	3336	3043	2727
FBGN0039087	17	10	10	21	28	21
FBGN0262605	3	18	0	1	41	14
FBGN0263040	39	2	18	8	7	11
FBGN0020907	5	7	14	24	8	19
FBGN0038903	494	781	804	810	742	666
FBGN0037472	1550	2030	1809	2117	1805	1550
FBGN0263977	5166	6280	5694	12185	12916	11209
FBGN0261060	6	0	1	0	1	9
FBGN0015568	35	24	45	79	118	52
FBGN0011270	30	0	7	8	10	5
FBGN0051116	132	92	59	180	104	74
FBGN0262577	19	16	12	65	27	22
FBGN0039030	19	11	8	23	48	17
FBGN0053105	4933	5353	5730	4739	4488	4745
FBGN0037516	2	7	1	3	0	4
FBGN0051265	34	12	0	1	9	6
FBGN0051163	21494	23790	23948	18468	17125	16116
FBGN0039189	2140	2836	2305	2732	2558	2385
FBGN0039858	28249	32041	32491	38029	35376	31845
FBGN0261561	592	500	520	319	329	339
FBGN0002905	10755	12171	11882	10887	11319	9658
FBGN0003676	16956	20610	20742	24595	22267	19881
FBGN0040629	1	8	6	15	9	40
FBGN0038246	26	24	23	61	85	61
FBGN0043005	73	16	7	50	23	34
FBGN0038815	3175	2876	3485	2425	2314	2297
FBGN0015569	327	290	232	302	238	227
FBGN0038960	8	15	10	31	18	11
FBGN0067317	7	8	2	2	4	3
FBGN0039544	2949	3447	3160	3105	3011	2835
FBGN0038356	4	2	4	1	0	4
FBGN0051437	31	28	30	23	6	9
FBGN0028400	15	2	32	26	13	26
FBGN0039233	1368	1652	1662	2105	1982	1714
FBGN0288631	4061	4765	4776	5262	4464	4482
FBGN0039225	43	58	34	35	84	51
FBGN0051327	51	30	35	51	35	25
FBGN0261290	12	5	6	6	3	5
FBGN0002609	2345	2413	2604	1180	1257	1181
FBGN0051013	31	13	12	12	46	16
FBGN0037898	49	174	121	439	431	317
FBGN0051206	45	18	2	14	6	33
FBGN0038037	371	306	413	508	562	433
FBGN0037449	10	10	8	10	27	13
FBGN0002924	12514	12496	14188	11108	10443	9080
