baseMean	log2FoldChange	lfcSE	pvalue	padj
FBGN0038542	0	NA	NA	NA	NA
FBGN0039592	0.124147649836683	0.0168870397102645	0.399609535601697	0.928620373500278	NA
FBGN0038067	0	NA	NA	NA	NA
FBGN0039602	36.1557449054918	0.085825786681167	0.292187039503528	0.674038080329254	0.844941857491446
FBGN0264897	0	NA	NA	NA	NA
FBGN0038565	0	NA	NA	NA	NA
FBGN0039331	0	NA	NA	NA	NA
FBGN0019972	144.494584279842	0.275089918826772	0.197034804657011	0.109346488565999	0.299847813500735
FBGN0046873	0	NA	NA	NA	NA
FBGN0038756	0.818292284033925	0.0100102159143797	0.396631659824003	0.852773102679471	NA
FBGN0039627	51.4592180320463	-0.0349370769110139	0.253196046334223	0.856841750273473	0.93735974201563
FBGN0039436	0	NA	NA	NA	NA
FBGN0051092	231.926976529963	0.219853125467182	0.164749190638147	0.142373887468516	0.35400124612542
FBGN0039089	1.04378192034676	0.0358666032503363	0.399027895884491	0.48615309279364	0.709400052596591
FBGN0064119	0	NA	NA	NA	NA
FBGN0250820	42.264493680785	0.251332294913758	0.30865927716419	0.246516796752479	0.481293704372296
FBGN0284229	0	NA	NA	NA	NA
FBGN0038886	0	NA	NA	NA	NA
FBGN0038243	1.71135703125891	-0.00374033413015385	0.391741078424276	0.960893259344691	0.985251631156556
FBGN0283468	151.698693549445	0.0229434412987063	0.181234398824466	0.888387080451529	0.952214784475455
FBGN0038598	0.117293339856717	0.0165889608716947	0.399590099364173	0.928620373500278	NA
FBGN0038407	5.93975049234572	-0.0659695689139916	0.373174648665959	0.653673509116343	0.830704614790775
FBGN0038627	18.7049948589413	-0.364990173942711	0.47483856226219	0.111268605937055	0.303343448199295
FBGN0027654	1.49176624148603	-0.0450689776137867	0.399436936840927	0.445143577776014	0.677385089263991
FBGN0037236	98.8899010060836	0.397502958199782	0.23799062273779	0.0444664619474354	0.164321934609422
FBGN0003890	60.4714781712188	1.76836678416198	0.451889167142256	6.01758821997438e-06	0.000108694373767071
FBGN0000463	487.186264377703	-0.104925333127417	0.160703509229764	0.474660311810572	0.699060963792681
FBGN0039761	0	NA	NA	NA	NA
FBGN0051415	0	NA	NA	NA	NA
FBGN0037970	0	NA	NA	NA	NA
FBGN0051463	0	NA	NA	NA	NA
FBGN0051077	0	NA	NA	NA	NA
FBGN0037723	78.8897325024323	0.0653216886515992	0.231158579773521	0.730880604198463	0.877361667027689
FBGN0028374	1.39327159799145	-0.0716520050250883	0.408421183428622	0.119804185301543	0.316129222662703
FBGN0004622	0	NA	NA	NA	NA
FBGN0053207	19.6400870000871	-0.0480648894466964	0.321598200066457	0.802313222967246	0.912811454598614
FBGN0038890	39.0585461828996	-0.177807408276688	0.292805638057754	0.391948123211594	0.633026078707418
FBGN0010770	105.326999827022	-0.443066031473338	0.231555936059975	0.0229758474773454	0.101699685317305
FBGN0046763	174.818082482669	0.46338164431386	0.242662389387732	0.0216536824527754	0.0968584485505602
FBGN0038465	9.20343109570262	-2.13933782470942	0.953034819149767	0.00107859985138855	0.00889375680940241
FBGN0038402	0.232211932998574	-0.0239682360091974	0.400324869608195	0.702592093793776	NA
FBGN0261108	58.3169950803849	0.805797139636109	0.327552714032178	0.00211485114026676	0.0155676600175331
FBGN0039087	0	NA	NA	NA	NA
FBGN0262605	0	NA	NA	NA	NA
FBGN0263040	0	NA	NA	NA	NA
FBGN0020907	6.03263739974078	-0.0329257301780601	0.40200169069726	0.104968127187731	0.292805828471039
FBGN0038903	20.994973631954	-0.296680929431574	0.399501988454471	0.182171091082723	0.407205968302557
FBGN0037472	70.0133226590185	-0.0610194338736293	0.230979021953296	0.744947995708196	0.885670167270547
FBGN0263977	457.014108625055	-1.02072888871324	0.141100892984966	6.10149403063639e-14	6.52916481913792e-12
FBGN0261060	0	NA	NA	NA	NA
FBGN0015568	0.28499849218028	-0.00402114403662112	0.398314052637167	0.883826248983909	NA
FBGN0011270	0	NA	NA	NA	NA
FBGN0051116	0.445849334523877	-0.0148084279251235	0.398475631168296	0.743859261801809	NA
FBGN0262577	88.996166381795	-0.125674126487122	0.430452047023676	NA	NA
FBGN0039030	0	NA	NA	NA	NA
FBGN0053105	0	NA	NA	NA	NA
FBGN0037516	0	NA	NA	NA	NA
FBGN0051265	0	NA	NA	NA	NA
FBGN0051163	215.789694030707	0.312145475251094	0.190110848266519	0.0623154755960299	0.2083830831527
FBGN0039189	41.5604712195441	-0.48485699532421	0.371334102212327	0.053279433202961	0.18597015332888
FBGN0039858	101.867756630924	0.20116039329257	0.213162110988499	0.267233537124682	0.50514780138721
FBGN0261561	6.97636949816546	0.0863221240447251	0.382987294604042	0.538660061845219	0.750879571436615
FBGN0002905	157.028230286146	-0.198363378100195	0.183441255749138	0.222259715528529	0.455952194626389
FBGN0003676	1096.67738178345	0.00196367253341758	0.10245347913043	0.986103089699642	0.995993792705657
FBGN0040629	0	NA	NA	NA	NA
FBGN0038246	0.232211932998574	-0.0239682360091974	0.400324869608195	0.702592093793776	NA
FBGN0043005	0	NA	NA	NA	NA
FBGN0038815	21.6078920970891	0.143134136819273	0.337303410780617	0.478132031925172	0.702888987078318
FBGN0015569	6.99008293164809	-0.0347867614346938	0.369128241730046	0.810300955176617	0.918657291718358
FBGN0038960	0	NA	NA	NA	NA
FBGN0067317	0	NA	NA	NA	NA
FBGN0039544	30.4212605538435	-0.594241505989321	0.428562816752655	0.0313225554387579	0.128088582037885
FBGN0038356	0	NA	NA	NA	NA
FBGN0051437	0	NA	NA	NA	NA
FBGN0028400	3.83953857781387	-0.0304520155784459	0.401387673352179	0.232142689171319	0.468600694655054
FBGN0039233	73.1094292636361	-0.088657993934567	0.230695346526703	0.637261941399468	0.819608541220254
FBGN0288631	127.773026046497	0.294278703539883	0.207514815706092	0.0995360213297889	0.283343529269533
FBGN0039225	0	NA	NA	NA	NA
FBGN0051327	0	NA	NA	NA	NA
FBGN0261290	0	NA	NA	NA	NA
FBGN0002609	15.474717325193	1.90748634868095	0.762447264773842	0.000678777738931676	0.00615099377371606
FBGN0051013	0	NA	NA	NA	NA
FBGN0037898	9.3953422107056	-0.196512076537301	0.405237947293704	0.274040823321852	0.512953938146815
FBGN0051206	0	NA	NA	NA	NA
FBGN0038037	2.03619646752297	-0.104715211622914	0.412506753757926	0.185890112362817	0.411635718855099
FBGN0037449	0	NA	NA	NA	NA
FBGN0002924	246.831689099903	0.117294941959578	0.153901209792649	0.409461637084439	0.648813671940416
FBGN0037623	17.3280788315337	0.44300797182436	0.510119806922985	0.08022588836769	0.246582569412873
FBGN0038989	147.184044736625	-0.316506058703762	0.191651284479895	0.0602698082065154	0.203322267550958
FBGN0038526	0	NA	NA	NA	NA
FBGN0038203	0	NA	NA	NA	NA
FBGN0037608	70.0790647211047	-0.452887453508834	0.266444132855253	0.0336495663976765	0.135135048304926
FBGN0260713	0	NA	NA	NA	NA
FBGN0037483	0.160850842343597	-0.0223449238383574	0.400126498357977	0.702592093793776	NA
