Geneid	RpS3_A_Ribo	RpS3_B_Ribo	RpS3_C_Ribo	Xrp1_A_Ribo	Xrp1_B_Ribo	Xrp1_C_Ribo
FBGN0038542	0	0	0	0	0	0
FBGN0039592	0	0	0	0	0	1
FBGN0038067	0	0	0	0	0	0
FBGN0039602	16	22	51	37	54	55
FBGN0264897	0	0	0	0	0	0
FBGN0038565	0	0	0	0	0	0
FBGN0039331	0	0	0	0	0	0
FBGN0019972	98	104	112	178	229	195
FBGN0046873	0	0	0	0	0	0
FBGN0038756	0	0	2	0	0	4
FBGN0039627	47	32	52	50	66	74
FBGN0039436	0	0	0	0	0	0
FBGN0051092	129	161	245	253	341	359
FBGN0039089	1	0	0	0	7	0
FBGN0064119	0	0	0	0	0	0
FBGN0250820	24	34	30	41	85	60
FBGN0284229	0	0	0	0	0	0
FBGN0038886	0	0	0	0	0	0
FBGN0038243	4	0	0	2	1	3
FBGN0283468	98	116	163	172	220	181
FBGN0038598	0	0	0	0	1	0
FBGN0038407	7	3	7	6	7	6
FBGN0038627	34	12	13	10	17	21
FBGN0027654	0	5	0	2	0	0
FBGN0037236	51	56	102	127	163	145
FBGN0003890	6	26	31	56	164	158
FBGN0000463	262	393	648	445	673	651
FBGN0039761	0	0	0	0	0	0
FBGN0051415	0	0	0	0	0	0
FBGN0037970	0	0	0	0	0	0
FBGN0051463	0	0	0	0	0	0
FBGN0051077	0	0	0	0	0	0
FBGN0037723	71	51	66	71	134	106
FBGN0028374	0	6	0	0	0	0
FBGN0004622	0	0	0	0	0	0
FBGN0053207	14	12	27	17	36	19
FBGN0038890	35	36	35	34	57	40
FBGN0010770	88	82	147	89	106	128
FBGN0046763	156	65	128	214	293	279
FBGN0038465	11	15	13	2	3	4
FBGN0038402	0	1	0	0	0	0
FBGN0261108	33	30	34	81	118	91
FBGN0039087	0	0	0	0	0	0
FBGN0262605	0	0	0	0	0	0
FBGN0263040	0	0	0	0	0	0
FBGN0020907	25	2	0	0	0	0
FBGN0038903	10	23	34	13	22	26
FBGN0037472	62	50	67	64	106	87
FBGN0263977	446	459	634	350	418	340
FBGN0261060	0	0	0	0	0	0
FBGN0015568	0	0	1	0	0	1
FBGN0011270	0	0	0	0	0	0
FBGN0051116	0	0	2	0	0	1
FBGN0262577	352	20	37	0	0	0
FBGN0039030	0	0	0	0	0	0
FBGN0053105	0	0	0	0	0	0
FBGN0037516	0	0	0	0	0	0
FBGN0051265	0	0	0	0	0	0
FBGN0051163	175	103	193	280	334	293
FBGN0039189	33	44	53	27	61	31
FBGN0039858	78	58	96	112	171	137
FBGN0261561	9	2	2	6	5	21
FBGN0002905	110	141	173	155	196	188
FBGN0003676	931	737	1056	1051	1597	1508
FBGN0040629	0	0	0	0	0	0
FBGN0038246	0	1	0	0	0	0
FBGN0043005	0	0	0	0	0	0
FBGN0038815	11	11	27	25	46	22
FBGN0015569	2	6	12	2	13	11
FBGN0038960	0	0	0	0	0	0
FBGN0067317	0	0	0	0	0	0
FBGN0039544	25	26	51	22	33	25
FBGN0038356	0	0	0	0	0	0
FBGN0051437	0	0	0	0	0	0
FBGN0028400	0	16	0	0	0	1
FBGN0039233	68	49	73	66	95	103
FBGN0288631	97	77	102	164	189	182
FBGN0039225	0	0	0	0	0	0
FBGN0051327	0	0	0	0	0	0
FBGN0261290	0	0	0	0	0	0
FBGN0002609	4	2	7	17	54	31
FBGN0051013	0	0	0	0	0	0
FBGN0037898	5	10	16	6	13	7
FBGN0051206	0	0	0	0	0	0
FBGN0038037	1	5	2	2	0	0
FBGN0037449	0	0	0	0	0	0
FBGN0002924	152	175	267	260	345	370
FBGN0037623	8	4	18	25	34	29
FBGN0038989	119	116	184	137	159	184
FBGN0038526	0	0	0	0	0	0
FBGN0038203	0	0	0	0	0	0
FBGN0037608	65	60	85	52	86	75
FBGN0260713	0	0	0	0	0	0
FBGN0037483	0	0	1	0	0	0
FBGN0028476	65	49	79	99	110	93
FBGN0038046	235	159	323	215	322	340
FBGN0051202	0	0	0	0	0	0
FBGN0039147	0	0	2	0	0	0
FBGN0038349	75	56	96	92	94	126
FBGN0010441	25	41	50	33	77	80
FBGN0039402	125	111	172	95	141	123
FBGN0037715	5	6	5	6	13	7
FBGN0010399	0	3	0	0	0	0
FBGN0267975	118	119	170	120	143	147
FBGN0015331	44	49	80	76	93	117
FBGN0027948	604	596	871	829	1108	1074
FBGN0011655	84	92	100	114	138	149
FBGN0266758	31	27	59	9	8	9
FBGN0004781	0	0	0	0	0	0
FBGN0085346	6	2	4	1	2	2
FBGN0039075	0	1	0	0	0	0
FBGN0000274	0	0	0	0	0	1
FBGN0039448	0	0	0	0	0	0
FBGN0003356	0	2	4	0	1	0
FBGN0039094	10	6	8	7	2	3
FBGN0010044	0	0	0	0	0	0
FBGN0051223	35	32	39	54	57	42
FBGN0263490	67	53	108	104	174	157
FBGN0250910	0	0	0	0	0	0
FBGN0262617	24	28	49	77	97	93
FBGN0038360	68	74	139	60	73	88
FBGN0051352	8	4	2	6	16	7
FBGN0037290	3	6	0	0	0	0
FBGN0038069	0	0	0	0	0	0
FBGN0037262	17	8	27	29	68	71
FBGN0045473	0	0	0	0	0	0
FBGN0039840	0	0	0	0	0	0
FBGN0037679	13	12	12	5	10	11
FBGN0039282	0	4	0	0	0	0
FBGN0037896	0	0	0	0	0	0
FBGN0266668	54	87	85	101	127	115
FBGN0037363	60	57	85	87	130	126
FBGN0014018	73	81	129	72	130	131
FBGN0037552	59	42	56	43	30	26
FBGN0037488	0	0	0	0	0	0
FBGN0038597	122	165	209	172	262	268
FBGN0082582	153	147	152	196	310	305
FBGN0040279	49	48	66	19	22	28
FBGN0261844	11	12	20	17	29	31
FBGN0002868	2	5	0	0	0	0
FBGN0037589	0	0	0	0	0	0
FBGN0038468	0	0	0	0	0	0
FBGN0010389	27	36	47	37	85	57
FBGN0039371	0	0	0	0	0	0
FBGN0259152	146	169	192	112	141	133
FBGN0051560	0	0	0	0	0	0
FBGN0037782	1	0	3	0	0	0
FBGN0039347	0	0	0	0	0	0
FBGN0037668	0	0	0	0	0	0
FBGN0038881	137	159	235	259	288	273
FBGN0011669	0	0	0	0	0	0
FBGN0038796	0	0	0	0	0	0
FBGN0038014	0	0	0	0	0	0
FBGN0038210	0	0	0	0	0	0
FBGN0041621	0	0	0	0	0	0
FBGN0037911	10	8	10	7	25	11
FBGN0037685	0	0	0	0	0	0
