Geneid	RpS3_Xrp1_C_RNA	RpS3_Xrp1_B_RNA	RpS3_Xrp1_A_RNA	Xrp1_C_RNA	Xrp1_B_RNA	Xrp1_A_RNA
FBGN0038542	101	58	44	53	31	28
FBGN0039592	101	99	59	26	12	10
FBGN0038067	49	53	22	10	13	20
FBGN0039602	3901	3852	2650	3263	3389	3395
FBGN0264897	3	16	7	10	3	0
FBGN0038565	97	74	23	21	57	0
FBGN0039331	28	9	52	23	18	9
FBGN0019972	6338	6328	5213	5216	5512	5871
FBGN0046873	3	15	4	3	1	4
FBGN0038756	29	10	5	5	2	14
FBGN0039627	1647	1865	1545	1070	1270	1171
FBGN0039436	86	70	11	49	23	16
FBGN0051092	13460	13757	10390	16696	17722	17266
FBGN0039089	109	103	12	19	37	25
FBGN0064119	41	102	75	43	13	63
FBGN0250820	2623	2839	2258	1852	2360	2298
FBGN0284229	3	7	8	0	0	0
FBGN0038886	73	49	60	75	17	17
FBGN0038243	104	116	55	62	53	84
FBGN0283468	8542	8136	6350	7205	8343	7814
FBGN0038598	200	165	131	159	148	197
FBGN0038407	344	274	196	231	102	156
FBGN0038627	564	631	430	641	635	551
FBGN0027654	149	156	66	45	67	132
FBGN0037236	4856	4693	3578	4445	4423	4514
FBGN0003890	2401	2618	1853	2907	3156	3832
FBGN0000463	10540	12170	8553	13840	15518	14346
FBGN0039761	27	0	12	15	2	2
FBGN0051415	42	21	41	65	14	13
FBGN0037970	76	59	73	66	91	78
FBGN0051463	36	0	20	38	14	27
FBGN0051077	60	93	71	61	11	42
FBGN0037723	3019	3773	2820	2367	3070	2941
FBGN0028374	28	12	15	7	5	0
FBGN0004622	48	70	94	52	26	18
FBGN0053207	1830	1788	1302	1823	1933	2255
FBGN0038890	4633	4735	3333	3618	3985	3972
FBGN0010770	4862	4572	3670	3178	3764	3161
FBGN0046763	12007	14155	9756	8628	9942	8826
FBGN0038465	435	290	229	92	145	38
FBGN0038402	79	9	25	30	10	22
FBGN0261108	4082	4134	3208	3108	3513	3984
FBGN0039087	38	31	52	17	10	10
FBGN0262605	69	61	6	3	18	0
FBGN0263040	0	62	4	39	2	18
FBGN0020907	53	1	5	5	7	14
FBGN0038903	604	676	629	494	781	804
FBGN0037472	2281	2167	2144	1550	2030	1809
FBGN0263977	13979	13777	10829	5166	6280	5694
FBGN0261060	3	18	1	6	0	1
FBGN0015568	127	104	145	35	24	45
FBGN0011270	10	20	3	30	0	7
FBGN0051116	192	156	146	132	92	59
FBGN0262577	39	100	57	19	16	12
FBGN0039030	50	17	48	19	11	8
FBGN0053105	5924	5540	4853	4933	5353	5730
FBGN0037516	11	1	13	2	7	1
FBGN0051265	14	12	18	34	12	0
FBGN0051163	20171	20328	15754	21494	23790	23948
FBGN0039189	2722	2539	2646	2140	2836	2305
FBGN0039858	31593	32962	24735	28249	32041	32491
FBGN0261561	482	577	471	592	500	520
FBGN0002905	9698	9847	7573	10755	12171	11882
FBGN0003676	25860	28256	21405	16956	20610	20742
FBGN0040629	51	18	18	1	8	6
FBGN0038246	67	99	53	26	24	23
FBGN0043005	45	34	48	73	16	7
FBGN0038815	2037	1745	1482	3175	2876	3485
FBGN0015569	281	356	266	327	290	232
FBGN0038960	47	59	27	8	15	10
FBGN0067317	26	5	12	7	8	2
FBGN0039544	3281	3046	2506	2949	3447	3160
FBGN0038356	5	16	9	4	2	4
FBGN0051437	30	1	9	31	28	30
FBGN0028400	54	63	29	15	2	32
FBGN0039233	2474	2427	1780	1368	1652	1662
FBGN0288631	5768	5322	4875	4061	4765	4776
FBGN0039225	113	69	59	43	58	34
FBGN0051327	73	54	21	51	30	35
FBGN0261290	34	8	11	12	5	6
FBGN0002609	2459	2303	1909	2345	2413	2604
FBGN0051013	38	21	48	31	13	12
FBGN0037898	382	368	382	49	174	121
FBGN0051206	44	19	24	45	18	2
FBGN0038037	467	516	351	371	306	413
FBGN0037449	15	5	25	10	10	8
FBGN0002924	11887	12066	9150	12514	12496	14188
FBGN0037623	966	959	901	915	933	1092
FBGN0038989	4363	4438	3667	3394	4125	4355
FBGN0038526	51	5	40	14	1	2
FBGN0038203	39	43	6	0	21	18
FBGN0037608	1816	2335	1533	1542	2028	2002
FBGN0260713	31	1	4	10	32	9
FBGN0037483	105	9	14	69	58	91
FBGN0028476	5501	5536	4414	6186	6681	6913
FBGN0038046	5023	5475	4306	3982	4182	4905
FBGN0051202	111	56	70	36	60	46
FBGN0039147	44	56	48	28	43	10
FBGN0038349	1402	1677	1070	1363	1568	1897
FBGN0010441	2983	2861	2629	1752	2284	2405
FBGN0039402	2347	2343	2095	1527	1651	1768
FBGN0037715	315	456	256	160	188	252
FBGN0010399	123	117	66	82	91	42
FBGN0267975	3956	4020	3090	2602	3922	3435
FBGN0015331	4051	3882	2585	3775	4602	4375
FBGN0027948	34101	33325	26846	38776	39971	40575
FBGN0011655	6651	7103	5308	6215	6346	7327
FBGN0266758	675	505	392	341	431	462
FBGN0004781	36	64	13	50	13	11
FBGN0085346	670	755	520	237	289	504
FBGN0039075	204	227	146	166	159	75
FBGN0000274	70	4	37	22	11	19
FBGN0039448	20	2	11	6	9	6
FBGN0003356	2879	3372	2864	261	42	60
FBGN0039094	84	77	79	90	104	78
FBGN0010044	27	23	23	9	0	2
FBGN0051223	1650	1401	1247	792	973	1192
FBGN0263490	13328	13614	9521	18010	20067	19828
FBGN0250910	95	149	123	65	77	62
FBGN0262617	6075	6062	5080	6161	7098	6803
FBGN0038360	2259	2052	1593	1595	1847	1631
FBGN0051352	17527	18026	15226	21376	22511	24269
FBGN0037290	81	62	37	27	9	37
FBGN0038069	72	15	45	8	39	8
FBGN0037262	3158	3651	2440	2661	3357	3086
FBGN0045473	21	21	24	35	27	20
FBGN0039840	22	13	39	37	33	1
FBGN0037679	1311	1470	1045	1137	1008	1173
FBGN0039282	65	119	62	75	52	72
FBGN0037896	102	50	95	65	10	33
FBGN0266668	2475	2328	1702	1923	1985	1707
FBGN0037363	4556	4703	3789	5247	6043	6043
FBGN0014018	5286	4722	3888	4646	4775	5008
FBGN0037552	1321	1315	1184	836	970	856
FBGN0037488	20	29	34	24	32	3
FBGN0038597	4197	4532	3638	3146	3423	4018
FBGN0082582	11345	11447	9213	8846	8981	9255
FBGN0040279	254	281	208	381	338	393
FBGN0261844	1487	986	945	1724	1456	2092
FBGN0002868	106	43	102	26	33	57
FBGN0037589	22	35	24	53	30	76
FBGN0038468	99	146	63	70	31	57
FBGN0010389	1506	1397	1006	1131	1818	1791
FBGN0039371	42	8	10	9	7	3
FBGN0259152	8612	9094	7051	4480	5283	4593
FBGN0051560	22	5	18	24	7	1
FBGN0037782	20	9	36	13	13	0
FBGN0039347	36	50	29	69	67	59
FBGN0037668	92	63	31	58	46	47
FBGN0038881	18485	17403	13354	19819	22147	21137
FBGN0011669	4	12	6	12	0	5
FBGN0038796	18	15	27	5	6	11
FBGN0038014	70	113	63	34	42	36
FBGN0038210	22	22	15	8	2	11
FBGN0041621	80	33	30	47	19	7
FBGN0037911	682	715	470	486	584	580
FBGN0037685	56	38	40	7	8	4
FBGN0039015	14	47	41	32	35	13
FBGN0037254	60	102	71	96	49	35
FBGN0266137	109	43	80	36	67	23
FBGN0053337	88	50	115	51	36	27
FBGN0038460	16	8	26	4	7	10
FBGN0261053	14192	14611	10757	17567	18617	18704
FBGN0037375	118	68	50	114	52	76
FBGN0014930	686	697	398	351	602	610
FBGN0037626	37	23	16	12	12	5
FBGN0051051	252	358	214	236	282	332
FBGN0286204	177	134	97	95	36	18
FBGN0045035	8186	8147	6398	9309	10804	10358
FBGN0037754	79	8	26	6	30	7
FBGN0051017	23	109	15	43	11	7
FBGN0039795	7734	7553	5926	3740	4850	3129
FBGN0038476	31155	30508	25251	21170	24324	23960
FBGN0037461	18	1	27	4	10	9
FBGN0051407	55	143	42	203	122	98
FBGN0039003	3083	2511	2233	2549	2570	2885
FBGN0039731	1873	2010	1309	1227	1569	1251
FBGN0038003	45	26	4	36	1	7
FBGN0087013	37102	40156	30478	27212	31748	32207
FBGN0259733	497	653	401	48	94	47
FBGN0266176	0	0	0	0	0	0
FBGN0038302	593	585	453	322	492	380
FBGN0263596	1	0	2	4	5	0
FBGN0037424	40	99	44	16	18	45
FBGN0051076	117	78	58	78	62	28
FBGN0002735	532	571	453	393	306	344
FBGN0038462	4138	4612	3707	3293	4144	3719
FBGN0039584	40	23	31	28	13	17
FBGN0028487	774	973	614	652	507	765
FBGN0044511	982	1143	1055	671	767	608
FBGN0039522	31	16	48	16	29	18
FBGN0051542	25	1	6	8	13	1
FBGN0085328	17	7	9	15	3	8
FBGN0038447	3	37	18	8	8	20
FBGN0037822	5097	5185	4109	3554	4106	4050
FBGN0037504	6750	6747	5524	4034	4843	4291
FBGN0037963	19084	19508	15226	19940	23439	20719
FBGN0039368	65	5	24	10	23	10
FBGN0042102	67	10	40	19	1	19
FBGN0037677	54	19	36	9	36	9
FBGN0038499	4159	3403	3330	3900	4009	4126
FBGN0037572	19	2	28	0	6	14
FBGN0266916	7926	8534	6157	8815	9235	8900
FBGN0038887	88	62	45	64	30	24
FBGN0040227	31628	31867	26050	30393	32212	35762
FBGN0039312	46	11	51	10	15	10
FBGN0039599	48	40	16	27	3	7
FBGN0037688	2496	2696	2112	1751	2069	1596
FBGN0044823	490	512	357	351	524	374
FBGN0013813	597	472	395	292	214	197
FBGN0039081	94	108	31	28	22	25
FBGN0263400	79	71	112	0	29	11
FBGN0038331	2760	2806	2291	1736	2176	2149
FBGN0038515	2816	2598	2129	2061	2250	2093
FBGN0039108	79	57	40	43	24	40
FBGN0025574	4369	4535	3767	3384	4029	3953
FBGN0039298	8	18	62	0	2	4
FBGN0038914	30	21	1	16	5	1
FBGN0038760	7090	6801	5376	5728	6504	6645
FBGN0014861	10105	11027	8256	9864	10518	10864
FBGN0037892	930	1262	1015	971	1058	1239
FBGN0010803	4577	4508	3637	2687	3361	3073
