baseMean	log2FoldChange	lfcSE	pvalue	padj
FBGN0038542	0.178202583238334	-0.0131064831740417	0.300199233964994	0.669569044766198	NA
FBGN0039592	0.116698085426572	0.00904756850410542	0.299910832836944	0.964374350260113	NA
FBGN0038067	0	NA	NA	NA	NA
FBGN0039602	38.8126406659095	-0.0843003636465432	0.240632565987321	0.574377238980353	0.803083855351784
FBGN0264897	0	NA	NA	NA	NA
FBGN0038565	0	NA	NA	NA	NA
FBGN0039331	0	NA	NA	NA	NA
FBGN0019972	123.009478890914	0.569908449436546	0.215519819219323	0.00144825321111895	0.0143020790824137
FBGN0046873	0	NA	NA	NA	NA
FBGN0038756	0.46679234170629	0.016230979016873	0.300392316649179	0.598487378679534	NA
FBGN0039627	41.1769162419843	0.20949605359031	0.269451038025875	0.211557988601623	0.485677585174562
FBGN0039436	0	NA	NA	NA	NA
FBGN0051092	242.179051785148	-0.0470989567799621	0.135087287422147	0.695151033464762	0.861762478258853
FBGN0039089	0.769445210448357	0.025595646235042	0.30119475727304	0.383904019016285	NA
FBGN0064119	0	NA	NA	NA	NA
FBGN0250820	41.6713377956972	0.103451876533218	0.246407897457311	0.497821453178296	0.755364531547489
FBGN0284229	0	NA	NA	NA	NA
FBGN0038886	0	NA	NA	NA	NA
FBGN0038243	1.02709943612531	0.0268911979795855	0.299542699684473	0.447498194881056	NA
FBGN0283468	145.960614909866	-0.0228877739816493	0.173555938256359	0.870105893123903	0.947751153179578
FBGN0038598	0.109920744349765	0.0088704860030631	0.299903076710391	0.964374350260113	NA
FBGN0038407	2.40166556722077	0.117993692967302	0.332242469906766	0.0141865678232806	0.0834654174203809
FBGN0038627	11.2001414227211	0.0214908668851413	0.27445702878841	0.85084593540132	0.940257288107367
FBGN0027654	1.51450848100866	-0.0368105195451071	0.300980959430274	0.341607116084232	0.626309441541061
FBGN0037236	90.1986125544936	0.47717391692146	0.244349804456677	0.010954851408386	0.0691599729132276
FBGN0003890	65.8108343963232	0.946933333682088	0.357854580828605	0.000617086449859613	0.0072215759932768
FBGN0000463	492.61388270529	-0.289031642893504	0.11629582510872	0.00696234145786738	0.0496207065608577
FBGN0039761	0	NA	NA	NA	NA
FBGN0051415	0	NA	NA	NA	NA
FBGN0037970	0	NA	NA	NA	NA
FBGN0051463	0	NA	NA	NA	NA
FBGN0051077	0	NA	NA	NA	NA
