Geneid	RpS3_Xrp1_A_Ribo	RpS3_Xrp1_B_Ribo	RpS3_Xrp1_C_Ribo	Xrp1_A_Ribo	Xrp1_B_Ribo	Xrp1_C_Ribo
FBGN0038542	1	0	0	0	0	0
FBGN0039592	0	0	0	0	0	1
FBGN0038067	0	0	0	0	0	0
FBGN0039602	47	35	18	37	54	55
FBGN0264897	0	0	0	0	0	0
FBGN0038565	0	0	0	0	0	0
FBGN0039331	0	0	0	0	0	0
FBGN0019972	87	75	60	178	229	195
FBGN0046873	0	0	0	0	0	0
FBGN0038756	0	0	0	0	0	4
FBGN0039627	32	28	22	50	66	74
FBGN0039436	0	0	0	0	0	0
FBGN0051092	234	193	153	253	341	359
FBGN0039089	0	0	0	0	7	0
FBGN0064119	0	0	0	0	0	0
FBGN0250820	39	37	15	41	85	60
FBGN0284229	0	0	0	0	0	0
FBGN0038886	0	0	0	0	0	0
FBGN0038243	0	0	1	2	1	3
FBGN0283468	107	136	97	172	220	181
FBGN0038598	0	0	0	0	1	0
FBGN0038407	0	0	0	6	7	6
FBGN0038627	13	9	4	10	17	21
FBGN0027654	1	0	4	2	0	0
FBGN0037236	69	50	48	127	163	145
FBGN0003890	37	30	29	56	164	158
FBGN0000463	550	368	368	445	673	651
FBGN0039761	0	0	0	0	0	0
FBGN0051415	0	0	0	0	0	0
FBGN0037970	0	0	0	0	0	0
FBGN0051463	0	0	0	0	0	0
FBGN0051077	0	0	0	0	0	0
FBGN0037723	84	50	57	71	134	106
FBGN0028374	0	0	0	0	0	0
FBGN0004622	0	0	0	0	0	0
FBGN0053207	31	8	9	17	36	19
FBGN0038890	38	21	17	34	57	40
FBGN0010770	78	85	95	89	106	128
FBGN0046763	75	89	132	214	293	279
FBGN0038465	11	0	5	2	3	4
FBGN0038402	0	0	0	0	0	0
FBGN0261108	53	42	33	81	118	91
FBGN0039087	0	0	0	0	0	0
FBGN0262605	0	0	1	0	0	0
FBGN0263040	0	1	0	0	0	0
FBGN0020907	0	0	0	0	0	0
FBGN0038903	38	13	26	13	22	26
FBGN0037472	79	57	43	64	106	87
FBGN0263977	544	445	365	350	418	340
FBGN0261060	0	0	0	0	0	0
FBGN0015568	0	3	0	0	0	1
FBGN0011270	0	0	0	0	0	0
FBGN0051116	0	2	0	0	0	1
FBGN0262577	0	0	0	0	0	0
FBGN0039030	0	0	1	0	0	0
FBGN0053105	0	0	0	0	0	0
FBGN0037516	0	0	0	0	0	0
FBGN0051265	0	0	0	0	0	0
FBGN0051163	237	127	127	280	334	293
FBGN0039189	50	39	18	27	61	31
FBGN0039858	71	92	50	112	171	137
FBGN0261561	3	8	1	6	5	21
FBGN0002905	130	87	97	155	196	188
FBGN0003676	946	761	667	1051	1597	1508
FBGN0040629	0	0	0	0	0	0
FBGN0038246	0	0	0	0	0	0
FBGN0043005	0	0	0	0	0	0
FBGN0038815	4	9	12	25	46	22
FBGN0015569	1	7	3	2	13	11
FBGN0038960	0	0	0	0	0	0
FBGN0067317	0	0	0	0	0	0
FBGN0039544	28	22	32	22	33	25
FBGN0038356	0	0	0	0	0	0
FBGN0051437	0	0	0	0	0	0
FBGN0028400	0	2	0	0	0	1
FBGN0039233	41	34	54	66	95	103
FBGN0288631	115	78	88	164	189	182
FBGN0039225	0	0	0	0	0	0
FBGN0051327	0	0	0	0	0	0
FBGN0261290	0	0	0	0	0	0
FBGN0002609	10	4	8	17	54	31
FBGN0051013	0	0	0	0	0	0
FBGN0037898	25	11	8	6	13	7
FBGN0051206	0	0	0	0	0	0
FBGN0038037	1	1	1	2	0	0
FBGN0037449	0	0	0	0	0	0
FBGN0002924	202	141	166	260	345	370
FBGN0037623	11	12	12	25	34	29
FBGN0038989	120	112	111	137	159	184
FBGN0038526	0	0	0	0	0	0
FBGN0038203	0	0	0	0	0	0
FBGN0037608	62	68	67	52	86	75
FBGN0260713	0	0	0	0	0	0
FBGN0037483	0	0	0	0	0	0
FBGN0028476	92	56	56	99	110	93
FBGN0038046	229	170	181	215	322	340
FBGN0051202	0	0	0	0	0	0
FBGN0039147	0	0	0	0	0	0
FBGN0038349	52	65	54	92	94	126
FBGN0010441	35	42	20	33	77	80
FBGN0039402	135	102	94	95	141	123
FBGN0037715	0	2	0	6	13	7
FBGN0010399	0	0	0	0	0	0
FBGN0267975	119	108	72	120	143	147
FBGN0015331	61	36	39	76	93	117
FBGN0027948	633	542	450	829	1108	1074
FBGN0011655	80	65	64	114	138	149
FBGN0266758	10	4	8	9	8	9
FBGN0004781	0	0	0	0	0	0
FBGN0085346	1	3	6	1	2	2
FBGN0039075	0	0	0	0	0	0
FBGN0000274	0	0	0	0	0	1
FBGN0039448	0	0	0	0	0	0
FBGN0003356	0	0	11	0	1	0
FBGN0039094	0	1	0	7	2	3
FBGN0010044	0	0	0	0	0	0
FBGN0051223	28	37	19	54	57	42
FBGN0263490	60	58	48	104	174	157
FBGN0250910	0	0	0	0	0	0
FBGN0262617	27	31	31	77	97	93
FBGN0038360	136	88	67	60	73	88
FBGN0051352	0	2	4	6	16	7
FBGN0037290	1	0	1	0	0	0
FBGN0038069	0	0	0	0	0	0
FBGN0037262	19	11	19	29	68	71
FBGN0045473	0	0	0	0	0	0
FBGN0039840	0	0	0	0	0	0
FBGN0037679	4	5	5	5	10	11
FBGN0039282	0	0	0	0	0	0
FBGN0037896	0	0	0	0	0	0
FBGN0266668	91	77	57	101	127	115
FBGN0037363	58	45	27	87	130	126
FBGN0014018	84	58	47	72	130	131
FBGN0037552	27	38	35	43	30	26
FBGN0037488	0	0	0	0	0	0
FBGN0038597	180	136	116	172	262	268
FBGN0082582	164	129	127	196	310	305
FBGN0040279	19	11	15	19	22	28
FBGN0261844	13	7	8	17	29	31
FBGN0002868	0	0	0	0	0	0
FBGN0037589	0	0	0	0	0	0
FBGN0038468	0	0	0	0	0	0
FBGN0010389	47	50	22	37	85	57
FBGN0039371	0	0	0	0	0	0
FBGN0259152	147	110	78	112	141	133
FBGN0051560	0	0	0	0	0	0
FBGN0037782	0	0	2	0	0	0
FBGN0039347	0	0	0	0	0	0
FBGN0037668	0	0	0	0	0	0
FBGN0038881	261	195	146	259	288	273
FBGN0011669	0	0	0	0	0	0
FBGN0038796	0	0	0	0	0	0
FBGN0038014	0	0	0	0	0	0
FBGN0038210	0	0	0	0	0	0
FBGN0041621	0	0	0	0	0	0
FBGN0037911	4	1	1	7	25	11
FBGN0037685	0	0	0	0	0	0
FBGN0039015	0	0	0	0	0	0
FBGN0037254	0	0	0	0	0	0
FBGN0266137	0	0	0	0	0	0
FBGN0053337	0	0	0	0	0	0
FBGN0038460	0	0	0	0	0	0
FBGN0261053	141	146	111	204	287	267
FBGN0037375	0	0	1	0	1	0
FBGN0014930	13	7	8	7	11	5
FBGN0037626	0	0	0	0	0	0
FBGN0051051	0	1	2	0	2	0
FBGN0286204	0	1	0	1	2	0
FBGN0045035	80	89	73	122	177	182
FBGN0037754	2	0	0	0	0	0
FBGN0051017	0	0	0	0	0	0
FBGN0039795	221	148	173	390	692	552
FBGN0038476	802	688	630	960	1290	1187
FBGN0037461	0	0	0	0	0	0
FBGN0051407	0	0	0	0	0	0
FBGN0039003	43	20	19	51	82	44
FBGN0039731	30	25	38	27	47	22
FBGN0038003	0	0	0	0	0	0
FBGN0087013	1381	1052	1007	1318	1721	1711
FBGN0259733	0	0	0	0	2	1
FBGN0266176	0	0	0	0	0	0
FBGN0038302	24	11	16	23	14	9
FBGN0263596	0	0	0	0	0	0
FBGN0037424	0	0	0	0	0	0
FBGN0051076	0	2	0	3	2	2
FBGN0002735	6	2	0	3	6	12
FBGN0038462	21	11	9	20	33	37
FBGN0039584	0	0	0	0	0	0
FBGN0028487	0	1	2	1	2	5
FBGN0044511	29	17	17	29	36	40
FBGN0039522	0	0	0	0	0	0
FBGN0051542	0	0	0	0	0	0
FBGN0085328	0	0	0	0	0	0
FBGN0038447	0	0	0	0	0	0
FBGN0037822	9	4	9	10	11	31
FBGN0037504	83	66	67	114	143	131
FBGN0037963	827	591	472	892	996	957
FBGN0039368	0	0	0	0	0	0
FBGN0042102	0	0	0	0	0	1
FBGN0037677	0	0	0	0	0	0
FBGN0038499	58	72	45	105	112	110
FBGN0037572	0	0	0	0	0	0
FBGN0266916	54	34	49	102	143	117
FBGN0038887	0	0	0	0	0	0
FBGN0040227	805	719	576	832	1255	1413
FBGN0039312	0	0	0	1	0	0
FBGN0039599	0	0	0	0	0	0
FBGN0037688	25	18	14	59	51	34
FBGN0044823	0	0	0	9	3	4
FBGN0013813	0	0	0	0	0	0
FBGN0039081	0	0	0	0	0	0
FBGN0263400	0	2	0	0	0	0
FBGN0038331	10	17	4	13	23	15
FBGN0038515	30	18	10	36	59	46
FBGN0039108	0	0	0	1	0	0
FBGN0025574	142	119	74	107	192	142
FBGN0039298	0	0	0	0	0	0
FBGN0038914	0	0	0	0	0	0
FBGN0038760	102	77	80	133	200	194
FBGN0014861	342	312	246	405	540	626
FBGN0037892	25	6	9	14	16	20
FBGN0010803	113	96	108	144	150	160
FBGN0051122	69	51	60	131	153	161
FBGN0286199	0	0	0	0	0	0
FBGN0038173	0	0	0	0	0	0
FBGN0038354	0	0	0	0	0	0
FBGN0004779	0	0	0	0	0	0
FBGN0004118	0	0	0	0	0	0
FBGN0037995	0	0	0	0	0	0
FBGN0027512	92	60	52	97	122	114
FBGN0051106	0	0	0	0	0	0
FBGN0286506	24	17	21	42	41	37
FBGN0039439	0	0	0	0	0	0
FBGN0037964	0	0	0	0	0	0
FBGN0039625	11	16	5	9	15	12
FBGN0039723	0	0	0	0	0	0
FBGN0262955	722	613	442	697	869	804
FBGN0039613	0	0	0	1	1	0
FBGN0051103	3	2	1	2	1	3
FBGN0039807	0	2	0	7	3	8
FBGN0051493	0	0	0	0	0	0
FBGN0038868	17	31	14	26	42	42
FBGN0038787	21	18	36	39	84	68
FBGN0039154	0	0	1	2	1	6
FBGN0051158	138	104	88	147	220	215
FBGN0039600	403	311	308	417	528	523
FBGN0038219	0	0	0	0	0	0
FBGN0262473	135	137	71	194	242	236
FBGN0083984	12	4	3	6	1	6
FBGN0038878	0	2	0	3	0	0
FBGN0039523	0	0	0	0	0	0
FBGN0004389	0	0	0	0	0	0
FBGN0038877	10	20	8	21	57	40
FBGN0039356	22	16	10	8	12	12
FBGN0037455	0	0	0	0	0	0
FBGN0039264	0	0	0	0	0	0
FBGN0287211	0	0	0	0	0	0
FBGN0037994	0	0	0	0	0	0
FBGN0004885	576	369	344	781	1059	958
FBGN0038136	0	0	0	0	0	0
FBGN0051390	92	82	55	119	149	143
FBGN0038948	46	34	32	32	77	60
FBGN0038601	109	105	70	97	167	144
FBGN0264836	0	0	0	0	0	0
FBGN0000277	0	0	0	0	0	0
FBGN0038751	0	0	0	0	0	0
FBGN0266172	0	0	0	0	0	0
FBGN0264326	96	86	50	107	166	167
FBGN0051088	0	0	0	0	0	0
FBGN0039188	59	20	19	49	78	76
FBGN0266448	0	0	0	0	0	0
FBGN0025456	19	37	16	7	18	20
FBGN0040602	1	0	0	0	0	0
FBGN0037386	0	0	1	0	0	0
FBGN0051156	31	33	26	40	57	35
FBGN0037265	2	3	8	4	7	15
FBGN0004197	472	352	345	558	846	779
FBGN0085305	0	0	0	0	0	0
FBGN0037857	0	0	0	0	0	0
FBGN0044810	0	0	0	0	0	0
FBGN0037955	78	63	88	107	149	129
FBGN0037270	145	164	110	298	582	506
FBGN0264899	0	0	0	0	0	0
FBGN0039139	67	53	37	68	89	101
FBGN0041229	0	0	0	0	0	0
FBGN0039286	1	3	0	5	1	5
FBGN0037251	4	6	1	8	8	11
FBGN0051050	0	0	0	0	0	0
FBGN0037719	25	37	19	52	87	63
FBGN0039093	0	0	0	0	0	0
FBGN0016685	1203	1010	1003	1183	1551	1563
FBGN0038584	22	16	18	18	27	27
FBGN0051337	1	4	1	0	7	0
FBGN0028692	1314	1050	883	1273	1798	1833
FBGN0037727	0	0	0	0	0	0
FBGN0002734	9	7	11	20	30	21
FBGN0037563	0	0	0	0	0	105
FBGN0053100	15	9	10	20	44	23
FBGN0038089	0	0	0	0	0	0
